CNPJ,
55478312000105,ZZ
55747192000196,ZZ
34898046000191,S0
02583967000179,S0
21550004000113,S0
32707962000171,S0
49199439000184,S0
18308709000114,S0
59466409000140,S0
22488505000180,ZZ
40949469000196,ZZ
00686715000140,ZZ
00818578000150,ZZ
01414778000100,S0
01440590000136,ZZ
01771935000215,S0
01955600000176,S0
02223966008017,S0
02887318000161,ZZ
02901754000148,ZZ
04069709000102,S0
05149280000118,S0
05682285000101,S0
05805349000114,ZZ
06075854000113,ZZ
10542126000141,S0
11623026000102,ZZ
11637221000191,S0
13131591000188,ZZ
13156651000117,ZZ
18200580000126,S0
18597719000117,ZZ
19378769005305,ZZ
19378769023036,ZZ
21045717000120,S0
22626466000130,S0
22687094000151,S0
23485005000157,ZZ
24100824000100,S0
24407388000108,ZZ
24690046000148,ZZ
25328763000197,ZZ
26316084000160,ZZ
26952670000100,ZZ
27364904000152,ZZ
29231615000100,ZZ
29250095000183,ZZ
30153811000436,ZZ
30869213000115,ZZ
32986521000156,ZZ
33641819000197,ZZ
33699434000180,ZZ
33749304000105,ZZ
34103886000110,ZZ
34207699000187,S0
35054409000175,ZZ
35203141000196,ZZ
35971738000180,ZZ
36430949000179,ZZ
39799762000135,S0
40269251000190,ZZ
42777456000102,ZZ
42933042000125,ZZ
43843358000350,S0
46757499000187,ZZ
47336147000110,ZZ
48624491000178,ZZ
48988256000185,ZZ
50162670000182,ZZ
53926389000167,ZZ
55205773000104,ZZ
57756694000109,ZZ
58295213002383,ZZ
62173620009306,ZZ
63554067000198,S0
90347840001270,ZZ
01139263000149,ZZ
02447909000118,ZZ
02913555000150,S0
03879169000151,ZZ
04121024000150,S0
05674518000124,ZZ
07041060000100,ZZ
07749134000159,ZZ
10457842000201,ZZ
10511326000137,ZZ
10859373000176,ZZ
11643218000180,ZZ
13347016000117,S0
15484809000103,ZZ
16102264000196,ZZ
19378769008665,ZZ
21254819000155,ZZ
21534362000132,ZZ
21551379000793,S0
21918040000197,ZZ
22168141000150,S0
23129279000294,ZZ
23235827000180,ZZ
23448861000132,S0
23862815000185,ZZ
24198462000123,ZZ
24232673000135,ZZ
24545389000119,ZZ
24719300000193,ZZ
26285812000114,S0
27578434000120,S0
28133619000193,S0
28630316000186,ZZ
28922809000190,ZZ
29511607000118,ZZ
29551212000149,ZZ
31364610000106,ZZ
31728052000102,ZZ
31815525000109,ZZ
32213442000102,ZZ
33255787001163,S0
33583592002890,S0
34307295000165,S0
34321502000136,ZZ
35842499000169,ZZ
36340131000165,ZZ
38317752000153,ZZ
39270012000171,ZZ
39389473000168,ZZ
39822903000193,S0
40395056000107,ZZ
44962786000101,ZZ
46717166000124,ZZ
46778554000115,ZZ
49324221000104,S0
51404112000149,ZZ
73297509000111,S0
80680093000181,ZZ
92306257000780,ZZ
04150312000132,ZZ
04306284000108,ZZ
42653130000173,ZZ
10769033000154,S0
04740876000125,S0
53426348000101,ZZ
04238160000396,S0
63170203000146,ZZ
35820448001965,ZZ
41521179000100,ZZ
60860087011990,S0
32414708000185,S0
08314044000106,S0
14860427000174,ZZ
27492479000268,S0
04120966004887,S0
04020402000109,ZZ
41372812000145,ZZ
40469006000127,ZZ
08517301000107,S0
16707848000357,ZZ
39320478000134,S0
29366523000138,ZZ
15001382000145,S0
46432607000141,ZZ
01838723011323,S0
60860087003890,S0
10457842000120,ZZ
10461807000185,ZZ
57781412000123,S0
43464179000140,S0
28287705000150,ZZ
28152650000171,S0
53849039000144,S0
05618984000273,S0
01077319000188,S0
12136329000163,S0
10536354000109,S0
09392463000110,S0
05297150000122,S0
09120162000138,S0
17893344000170,S0
08624817000142,S0
10349100000181,S0
11056113000125,S0
39282132000199,ZZ
36361210000152,S0
19679110000150,S0
00754541000105,ZZ
15175492000123,ZZ
04021348000540,S0
36312916000124,S0
08919496000103,S0
08836885000175,S0
02633555000104,S0
00607932000105,S0
09525914000140,S0
08464423000174,S0
20204583000180,ZZ
27998368000147,S0
15618102000142,ZZ
59099071000136,S0
58515815000193,S0
58222953000184,S0
24843844000162,ZZ
58410073000131,S0
47726388000176,S0
02585515000126,S0
59650556000176,S0
44811247000163,S0
58709469000184,ZZ
29505367000149,S0
08517301000107,ZZ
